P10101,P10202,P10303,P10404,P10505,P10606,P10707,P10808,P20109,P20210,P20311,P20412,P20513,P20614,P20715,P30116,P30217,P30318,P40119,P40220,P40321,P40422,P40523,P40624,P40725,P50126,P50227,P50328,P50429,P50530,P50631,P60132,P60233,P60334,P60435,P70136,P70237,P70338
2020A08434,Rodríguez,Romero,Yolanda Citlali,yolandarodriguez@universidad-sysac.edu.mx,yolanda_rodriguez97@icloud.com,5555980501,2026-02-14,Licenciatura en Ciencia de Datos,LICI2020MX,5,Sí,2,No,NA,Beca de transporte,NA,56316,Solo/a,3,"Más de $25,000",Padre,No,NA,NA,Apoyo familiar,Sí,"Beca empresa $1,200",2027,No,Sí a ambos,Secundaria,Licenciatura,No,No,Sí,Sí,Sí
2023B09120,Ramírez,Ríos,Adrián,adrian_ramirez@universidad-sysac.edu.mx,adrian.ramirez512@yahoo.com,5571878954,2026-02-13,Licenciatura en Ciencia de Datos,LICI2020MX,5,Sí,2,Sí,Económica,Beca de colegiatura,7.6,NA,Con otros familiares,6,"Menos de $5,000",Madre,Sí,21,No,"Trabajo propio, Beca de otra institución",No,NA,335,No,Sí a ambos,Secundaria,Preparatoria,Sí,No,Sí,Sí,Sí
2021B03561,López,Rangel,Felipe José,felipe_lopez@universidad-sysac.edu.mx,felipe_lopez96@protonmail.com,4427802616,2026-01-26,Licenciatura en Enfermería,LIEN2022MX,4,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,4,"$5,001-$10,000",Beca o apoyo gubernamental,No,NA,NA,"Trabajo propio, Beca de otra institución, Crédito educativo",No,NA,1282,No,Solo internet,Preparatoria,Primaria,Sí,Sí,Sí,Sí,Sí
2024A09954,Vargas,Cervantes,Raúl,raulvargas@universidad-sysac.edu.mx,raulvargas94@hotmail.com,2254198127,2026-02-23,Maestría en Psicopedagogía,LIPS2020MX,4,Sí,6,Sí,Académica,Beca de transporte,NA,15870,Solo/a,4,"$5,001-$10,000",El propio estudiante,Sí,47,No,Beca de otra institución,No,NA,981,Sí,Sí a ambos,Posgrado,Primaria,No,Sí,Sí,Sí,Sí
2025B09351,Reyes,Medina,Patricia Vanessa,patricia_reyes@universidad-sysac.edu.mx,patricia_reyes87@outlook.com,5691481750,2026-05-11,Licenciatura en Enfermería,LIEN2022MX,2,Sí,3,Sí,Económica,Beca de colegiatura,6.0,NA,Con otros familiares,5,"Menos de $5,000",Padre,No,NA,NA,Trabajo propio,No,NA,1527,Sí,Solo computadora,Sin estudios,Secundaria,Sí,Sí,Sí,Sí,No
2024A03853,Jiménez,Domínguez,Perla Teresa,perla_jimenez@universidad-sysac.edu.mx,perla.jimenez503@yahoo.com.mx,5630061351,2026-02-01,Licenciatura en Gastronomía,LIGA2020MX,4,Sí,3,Sí,Económica,Beca de transporte,NA,53126,Con padres o tutores,6,"Menos de $5,000",Padre,Sí,18,No,"Ahorro, Apoyo familiar",No,NA,906,Sí,Sí a ambos,Licenciatura,Secundaria,No,No,Sí,Sí,Sí
2023B00529,Mejía,Orozco,Ana,anamejia@universidad-sysac.edu.mx,NA,5652928977,2026-02-26,Licenciatura en Mercadotecnia,LIME2020MX,5,No,NA,No,NA,Beca de transporte,NA,09856,En residencia estudiantil,6,"$5,001-$10,000",Padre,Sí,16,No,"Apoyo familiar, Apoyo gubernamental",No,NA,927,Sí,Sí a ambos,Licenciatura,Preparatoria,No,Sí,Sí,Sí,No
2023A07549,Cruz,Rojas,Catalina,catalinacruz@universidad-sysac.edu.mx,catalina_cruz81@yahoo.com,5543609092,2026-06-28,Ingeniería Industrial,LIIN2020MX,4,Sí,1,No,NA,Beca de colegiatura,8.0,NA,Con pareja,3,"$10,001-$15,000",El propio estudiante,Sí,42,No,Trabajo propio,No,NA,1576,No,Ninguno,Secundaria,Primaria,Sí,No,Sí,Sí,Sí
2024B08989,Muñoz,Molina,Pablo,pablomunoz@universidad-sysac.edu.mx,pablo_munoz89@gmail.com,(56) 61241290,2026-05-20,Licenciatura en Diseño Gráfico,LIDN2022MX,4,Sí,5,Sí,Personal/Familiar,Beca de transporte,NA,06760,Con pareja,6,"$5,001-$10,000",Madre,Sí,40,No,"Apoyo familiar, Trabajo propio",No,NA,2443,No,Sí a ambos,Preparatoria,Secundaria,Sí,Sí,Sí,Sí,Sí
2019B01680,Cruz,Rivera,Mario,mario_cruz@universidad-sysac.edu.mx,mario_cruz82@protonmail.com,3359382774,2026-05-29,Licenciatura en Ciencia de Datos,LICI2020MX,5,Sí,4,Sí,Económica,Beca de colegiatura,7.6,NA,Con otros familiares,4,"$5,001-$10,000",Beca o apoyo gubernamental,No,NA,NA,Apoyo familiar,No,NA,2429,No,Sí a ambos,Licenciatura,Sin estudios,No,No,No,Sí,No
2024B01284,Velázquez,Reyes,Ignacio David,ignacio_velazquez@universidad-sysac.edu.mx,ignacio_velazquez56@hotmail.com,5585968667,2026-06-18,Licenciatura en Educación,LIED2020MX,4,Sí,6,Sí,Económica,Beca de transporte,NA,15300,Con padres o tutores,4,"$5,001-$10,000",Otro familiar,Sí,36,No,"Trabajo propio, Crédito educativo",No,NA,831,Sí,Sí a ambos,Licenciatura,Licenciatura,No,Sí,Sí,Sí,Sí
2024B03267,Aguilar,Castro,Guadalupe,guadalupe.aguilar@universidad-sysac.edu.mx,guadalupe.aguilar84@outlook.com,5541686487,2026-02-20,Maestría en Psicopedagogía,LIPS2020MX,4,Sí,6,No,NA,Beca de colegiatura,8.1,NA,Con padres o tutores,3,"Más de $25,000",Madre,Sí,17,No,"Trabajo propio, Ahorro",No,NA,415,No,Sí a ambos,Primaria,Sin estudios,Sí,Sí,Sí,Sí,Sí
2019A02428,Cruz,Martínez,Laura Luz,lauracruz@universidad-sysac.edu.mx,laura.cruz@icloud.com,5581496217,2026-01-07,Maestría en Psicopedagogía,LIPS2020MX,4,Sí,4,No,NA,Beca de colegiatura,9.0,NA,Solo/a,5,"Menos de $5,000",Tutor,Sí,8,No,"Trabajo propio, Beca de otra institución",No,NA,552,Sí,Sí a ambos,Preparatoria,Secundaria,Sí,Sí,Sí,Sí,No
2023B05641,Rangel,Álvarez,Norma,normarangel@universidad-sysac.edu.mx,norma.rangel805@hotmail.com,2258820879,2026-02-02,Licenciatura en Educación,LIED2020MX,5,Sí,6,No,NA,Beca de colegiatura,6.3,NA,Con padres o tutores,5,"$5,001-$10,000",Otro familiar,Sí,17,Sí,"Apoyo gubernamental, Apoyo familiar",No,NA,1929,No,Sí a ambos,Posgrado,Secundaria,No,Sí,Sí,Sí,Sí
2024B02223,Moreno,Ibarra,Fernando,fernandomoreno@universidad-sysac.edu.mx,fernandomoreno151@gmail.com,8173542557,2026-02-13,Licenciatura en Educación,LIED2020MX,4,Sí,2,Sí,Económica,Beca de colegiatura,7.3,NA,Con padres o tutores,3,"$5,001-$10,000",Tutor,Sí,32,No,Trabajo propio,No,NA,435,Sí,Sí a ambos,Preparatoria,Primaria,Sí,Sí,Sí,Sí,Sí
2022B09615,Rangel,Lara,Manuel,manuel_rangel@universidad-sysac.edu.mx,manuel_rangel@outlook.com,5535300339,2026-05-29,Licenciatura en Mercadotecnia,LIME2020MX,5,Sí,3,Sí,Económica,Beca de transporte,NA,15010,En residencia estudiantil,4,"$5,001-$10,000",Madre,No,NA,NA,"Trabajo propio, Apoyo familiar, Apoyo gubernamental",Sí,"Beca empresa $1,200",1043,Sí,Sí a ambos,Secundaria,Sin estudios,Sí,Sí,Sí,Sí,Sí
2024A08561,Contreras,Fuentes,Cecilia Norma,cecilia.contreras@universidad-sysac.edu.mx,cecilia_contreras96@yahoo.com.mx,3318260587,2026-06-03,Licenciatura en Contaduría Pública,LICO2020MX,4,Sí,1,No,NA,Beca de transporte,NA,07800,Con padres o tutores,3,"$10,001-$15,000",Madre,Sí,35,No,"Trabajo propio, Apoyo familiar",Sí,"Beca empresa $1,200",1282,No,Sí a ambos,Licenciatura,Secundaria,No,No,Sí,Sí,Sí
2019B09469,Orozco,Guerrero,Daniel Santiago,daniel.orozco@universidad-sysac.edu.mx,daniel.orozco926@outlook.com,3376422945,2026-01-18,Licenciatura en Gastronomía,LIGA2020MX,5,Sí,1,Sí,Económica,Beca de colegiatura,8.4,NA,Con padres o tutores,6,"$5,001-$10,000",Tutor,Sí,11,No,"Trabajo propio, Apoyo gubernamental",No,NA,2493,Sí,Sí a ambos,Preparatoria,Primaria,Sí,Sí,Sí,Sí,Sí
2025B05229,Morales,Cabrera,Montserrat Araceli,montserratmorales@universidad-sysac.edu.mx,montserratmorales@live.com.mx,8135832151,2026-05-02,Ingeniería Industrial,LIIN2020MX,2,No,NA,Sí,Otra,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,3,"$10,001-$15,000",Padre,Sí,26,No,"Apoyo gubernamental, Beca de otra institución",No,NA,2378,No,Sí a ambos,Preparatoria,Sin estudios,Sí,No,Sí,Sí,Sí
2020A00387,Molina,Molina,Javier,javier_molina@universidad-sysac.edu.mx,javiermolina@outlook.com,2221669862,2026-02-26,Licenciatura en Diseño Gráfico,LIDN2022MX,5,No,NA,Sí,Económica,Beca de colegiatura,9.0,NA,En residencia estudiantil,3,"$5,001-$10,000",Madre,Sí,11,No,"Trabajo propio, Ahorro",No,NA,2273,No,Solo internet,Preparatoria,Preparatoria,Sí,Sí,Sí,Sí,Sí
2024A03694,Ramos,Carmona,Daniela Montserrat,daniela_ramos@universidad-sysac.edu.mx,daniela_ramos97@icloud.com,5582637565,2026-01-28,Licenciatura en Derecho,LIDE2020MX,4,Sí,4,Sí,Académica,Beca de colegiatura,7.1,NA,Con padres o tutores,1,"Más de $25,000",Beca o apoyo gubernamental,Sí,28,No,"Beca de otra institución, Crédito educativo",No,NA,198,No,Sí a ambos,Secundaria,Primaria,Sí,No,Sí,Sí,Sí
2024C04775,Molina,Rangel,Alicia,aliciamolina@universidad-sysac.edu.mx,alicia_molina@gmail.com,5523866107,2026-02-06,Licenciatura en Derecho,LIDE2020MX,4,Sí,3,Sí,Académica,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,4,"$5,001-$10,000",Tutor,No,NA,NA,Apoyo familiar,No,NA,889,No,Sí a ambos,Primaria,Preparatoria,Sí,No,Sí,Sí,Sí
2020B02384,Morales,Vázquez,Norma,norma.morales@universidad-sysac.edu.mx,norma_morales556@yahoo.com.mx,5558859076,2026-01-13,Licenciatura en Ciencia de Datos,LICI2020MX,5,Sí,3,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$15,001-$25,000",Beca o apoyo gubernamental,No,NA,NA,"Apoyo gubernamental, Beca de otra institución",No,NA,54,No,Sí a ambos,Secundaria,Secundaria,Sí,No,Sí,Sí,No
2024B07971,Ramos,García,Renata,renataramos@universidad-sysac.edu.mx,renataramos722@outlook.com,5595552232,2026-06-27,Ingeniería en Sistemas Computacionales,LISC2020MX,4,No,NA,Sí,Económica,Beca de colegiatura,8.6,NA,Con pareja,3,"$15,001-$25,000",Otro familiar,No,NA,NA,"Apoyo familiar, Beca de otra institución",No,NA,2046,No,Sí a ambos,Licenciatura,Secundaria,No,Sí,Sí,Sí,Sí
2025A08672,Ramos,Trejo,Rosa,rosaramos@universidad-sysac.edu.mx,rosaramos852@gmail.com,4488517475,2026-01-09,Ingeniería Industrial,LIIN2020MX,2,Sí,3,Sí,Académica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"Menos de $5,000",Padre,Sí,24,No,Beca de otra institución,No,NA,122,No,Solo computadora,Preparatoria,Licenciatura,No,No,No,Sí,Sí
2021A09574,Camacho,Rojas,Isabel,isabel_camacho@universidad-sysac.edu.mx,isabelcamacho@yahoo.com,5534043758,2026-02-27,Ingeniería en Sistemas Computacionales,LISC2020MX,4,Sí,4,No,NA,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,3,"$10,001-$15,000",Madre,No,NA,NA,"Crédito educativo, Trabajo propio",No,NA,1870,Sí,Solo internet,Licenciatura,Secundaria,No,No,Sí,Sí,Sí
2024B04947,Morales,Medina,Oscar Rodrigo,oscarmorales@universidad-sysac.edu.mx,oscar_morales93@yahoo.com,5615145764,2026-02-14,Ingeniería en Sistemas Computacionales,LISC2020MX,4,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Solo/a,5,"Menos de $5,000",Madre,No,NA,NA,Beca de otra institución,No,NA,2237,No,Sí a ambos,Primaria,Licenciatura,No,No,Sí,Sí,Sí
2023A08414,Ruiz,Palacios,María,maria.ruiz@universidad-sysac.edu.mx,maria.ruiz777@live.com.mx,5615818869,2026-01-16,Licenciatura en Ciencia de Datos,LICI2020MX,5,Sí,1,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$10,001-$15,000",Beca o apoyo gubernamental,No,NA,NA,"Ahorro, Apoyo familiar",No,NA,1249,Sí,Sí a ambos,Preparatoria,Primaria,Sí,No,Sí,Sí,No
2022C08708,Palacios,Soto,Valeria Elena,valeriapalacios@universidad-sysac.edu.mx,valeria.palacios90@icloud.com,2252577376,2026-05-10,Licenciatura en Derecho,LIDE2020MX,4,Sí,6,No,NA,Beca de colegiatura,5.9,NA,Con padres o tutores,3,"$10,001-$15,000",El propio estudiante,Sí,39,Sí,"Trabajo propio, Crédito educativo, Beca de otra institución",No,NA,780,No,Solo computadora,Posgrado,Primaria,No,No,Sí,Sí,Sí
2023B03553,Carmona,Rodríguez,Raúl Leonardo,raulcarmona@universidad-sysac.edu.mx,raulcarmona@protonmail.com,5597256260,2026-06-15,Licenciatura en Administración de Empresas,LIAD2020MX,5,Sí,4,Sí,Otra,Beca de colegiatura,6.9,NA,Con padres o tutores,3,"$5,001-$10,000",El propio estudiante,Sí,37,No,"Trabajo propio, Ahorro",No,NA,392,Sí,Solo internet,Licenciatura,Posgrado,No,No,Sí,Sí,Sí
2024B04322,Zavala,Reyes,Manuel Luis,manuel.zavala@universidad-sysac.edu.mx,manuel_zavala95@gmail.com,8190644396,2026-02-16,Ingeniería en Sistemas Computacionales,LISC2020MX,4,Sí,5,Sí,Otra,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$5,001-$10,000",Padre,No,NA,NA,"Crédito educativo, Apoyo familiar, Apoyo gubernamental",No,NA,1202,No,Sí a ambos,Sin estudios,Secundaria,Sí,Sí,Sí,Sí,Sí
2021A06576,Muñoz,Rojas,Kevin Sebastián,kevin_munoz@universidad-sysac.edu.mx,kevinmunoz87@icloud.com,5580625407,2026-02-19,Licenciatura en Educación,LIED2020MX,5,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con pareja,3,"$5,001-$10,000",Madre,No,NA,NA,Apoyo gubernamental,No,NA,1586,Sí,Sí a ambos,Posgrado,Sin estudios,No,Sí,Sí,Sí,Sí
2025A06048,Álvarez,Soto,Luis,luis_alvarez@universidad-sysac.edu.mx,NA,5518486998,2026-06-03,Licenciatura en Derecho,LIDE2020MX,2,Sí,2,Sí,Personal/Familiar,Beca de transporte,NA,15330,Solo/a,5,"$5,001-$10,000",Padre,Sí,28,No,Trabajo propio,Sí,Beca municipal $800,2583,Sí,Solo internet,Preparatoria,Secundaria,Sí,No,Sí,Sí,Sí
2020C09709,Pérez,Lara,Cristian,cristianperez@universidad-sysac.edu.mx,cristian.perez816@protonmail.com,5583368340,2026-01-09,Licenciatura en Educación,LIED2020MX,5,Sí,1,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"Menos de $5,000",Otro familiar,No,NA,NA,"Beca de otra institución, Apoyo gubernamental",No,NA,1691,Sí,Sí a ambos,Posgrado,Secundaria,No,No,Sí,Sí,Sí
2023B09789,Aguilar,Soto,Pedro Armando,pedro_aguilar@universidad-sysac.edu.mx,pedro_aguilar864@live.com.mx,4444193315,2026-01-04,Licenciatura en Gastronomía,LIGA2020MX,5,Sí,3,Sí,Personal/Familiar,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"Menos de $5,000",Padre,No,NA,NA,Crédito educativo,No,NA,2011,Sí,Sí a ambos,Primaria,Licenciatura,No,No,Sí,Sí,Sí
2022B07668,Ramos,González,Iván Pedro,ivan_ramos@universidad-sysac.edu.mx,ivanramos85@protonmail.com,5559761102,2026-06-02,Licenciatura en Ciencia de Datos,LICI2020MX,5,No,NA,Sí,Académica,Beca de colegiatura,9.5,NA,Con padres o tutores,2,"$10,001-$15,000",El propio estudiante,Sí,36,No,"Crédito educativo, Trabajo propio, Beca de otra institución",No,NA,355,No,Solo computadora,Preparatoria,Secundaria,Sí,No,Sí,Sí,No
2020C07369,Valencia,Ríos,Gustavo,gustavovalencia@universidad-sysac.edu.mx,gustavo.valencia83@live.com.mx,2289242366,2026-01-09,Ingeniería en Sistemas Computacionales,LISC2020MX,4,Sí,2,Sí,Otra,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,6,"$5,001-$10,000",Padre,No,NA,NA,Trabajo propio,No,NA,1399,No,Ninguno,Preparatoria,Secundaria,Sí,Sí,No,Sí,No
2023B08752,Díaz,Domínguez,Víctor,victor_diaz@universidad-sysac.edu.mx,victor_diaz82@icloud.com,5522374385,2026-01-01,Licenciatura en Mercadotecnia,LIME2020MX,5,No,NA,No,NA,Beca de transporte,NA,09800,Solo/a,2,"$10,001-$15,000",El propio estudiante,Sí,48,Sí,"Beca de otra institución, Ahorro, Crédito educativo",No,NA,2653,No,Solo computadora,Preparatoria,Posgrado,No,No,Sí,Sí,No
2024A02495,Palacios,Delgado,Karla Mariana,karla_palacios@universidad-sysac.edu.mx,karlapalacios86@hotmail.com,5592815151,2026-01-11,Licenciatura en Mercadotecnia,LIME2020MX,4,Sí,6,No,NA,Beca de colegiatura,5.5,NA,Con otros familiares,4,"Menos de $5,000",Beca o apoyo gubernamental,Sí,4,No,"Apoyo gubernamental, Trabajo propio",No,NA,1353,No,Sí a ambos,Primaria,Preparatoria,Sí,No,Sí,Sí,Sí
2024C03728,León,Carmona,Regina,regina_leon@universidad-sysac.edu.mx,regina_leon@hotmail.com,5523563105,2026-01-17,Licenciatura en Contaduría Pública,LICO2020MX,4,Sí,6,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$5,001-$10,000",El propio estudiante,Sí,38,No,Beca de otra institución,No,NA,941,No,Sí a ambos,Preparatoria,Primaria,Sí,No,Sí,Sí,Sí
2022B01201,Zavala,Domínguez,Miguel,miguelzavala@universidad-sysac.edu.mx,miguel.zavala82@outlook.com,2224894655,2026-01-05,Licenciatura en Enfermería,LIEN2022MX,4,Sí,1,No,NA,Beca de transporte,NA,07010,Solo/a,4,"$5,001-$10,000",Padre,Sí,11,No,Apoyo familiar,No,NA,3170,No,Sí a ambos,Preparatoria,Licenciatura,No,No,Sí,Sí,Sí
2025B04032,Herrera,Hernández,Ramón,ramonherrera@universidad-sysac.edu.mx,ramon.herrera700@live.com.mx,5587061041,2026-01-24,Licenciatura en Administración de Empresas,LIAD2020MX,2,Sí,4,Sí,Laboral,Beca de transporte,NA,55100,Con padres o tutores,4,"$10,001-$15,000",Madre,No,NA,NA,"Apoyo gubernamental, Apoyo familiar, Ahorro",No,NA,926,No,Solo computadora,Preparatoria,Licenciatura,No,No,Sí,Sí,Sí
2023A07160,Martínez,Figueroa,Jorge,jorge_martinez@universidad-sysac.edu.mx,jorge.martinez@yahoo.com.mx,005549391295,2026-02-17,Maestría en Psicopedagogía,LIPS2020MX,4,Sí,6,Sí,Económica,Beca de transporte,NA,41988,En residencia estudiantil,2,"$15,001-$25,000",Madre,No,NA,NA,"Trabajo propio, Crédito educativo",No,NA,2773,No,Ninguno,Secundaria,Licenciatura,No,No,Sí,Sí,No
2025B04734,Torres,Fuentes,César,cesartorres@universidad-sysac.edu.mx,cesar.torres@hotmail.com,3378946484,2026-02-02,Ingeniería en Sistemas Computacionales,LISC2020MX,2,Sí,3,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$5,001-$10,000",Padre,Sí,10,Sí,"Crédito educativo, Beca de otra institución, Trabajo propio",No,NA,934,Sí,Sí a ambos,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
2024C01525,Figueroa,Reyes,Gabriela,gabrielafigueroa@universidad-sysac.edu.mx,gabriela_figueroa@yahoo.com.mx,5615510120,2026-01-17,Licenciatura en Gastronomía,LIGA2020MX,4,Sí,6,Sí,Laboral,Beca de colegiatura,6.0,NA,Con padres o tutores,1,"$15,001-$25,000",Madre,No,NA,NA,Apoyo familiar,No,NA,2321,No,Sí a ambos,Secundaria,Preparatoria,Sí,Sí,Sí,Sí,No
2019C01432,Rivera,Valencia,Gabriela,gabriela.rivera@universidad-sysac.edu.mx,NA,4430809744,2026-05-14,Maestría en Psicopedagogía,LIPS2020MX,4,Sí,6,Sí,Económica,Beca de colegiatura,7.0,NA,Con pareja,1,"$15,001-$25,000",Tutor,No,NA,NA,"Beca de otra institución, Crédito educativo",No,NA,889,No,Sí a ambos,Preparatoria,Licenciatura,No,No,Sí,Sí,Sí
2022C02174,Herrera,Gutiérrez,Ignacio,ignacio.herrera@universidad-sysac.edu.mx,ignacioherrera326@gmail.com,5599546699,2026-02-15,Ingeniería en Sistemas Computacionales,LISC2020MX,4,Sí,1,No,NA,Beca de colegiatura,8.6,NA,Con padres o tutores,5,"$5,001-$10,000",Padre,Sí,26,No,"Crédito educativo, Trabajo propio, Ahorro",No,NA,2057,No,Sí a ambos,Secundaria,Posgrado,No,Sí,Sí,Sí,Sí
2022B07695,Aguilar,Espinoza,Oscar,oscar_aguilar@universidad-sysac.edu.mx,oscar.aguilar89@yahoo.com.mx,2270757640,2026-01-24,Licenciatura en Ciencia de Datos,LICI2020MX,5,No,NA,No,NA,Beca de colegiatura,9.4,NA,Con padres o tutores,3,"$5,001-$10,000",El propio estudiante,Sí,40,No,"Trabajo propio, Ahorro, Beca de otra institución",No,NA,1210,No,Ninguno,Licenciatura,Primaria,No,No,Sí,Sí,No
2023A05349,Álvarez,González,Luz Raquel,luzalvarez@universidad-sysac.edu.mx,luz.alvarez814@yahoo.com,4480590872,2026-02-07,Licenciatura en Ciencia de Datos,LICI2020MX,5,Sí,6,Sí,Laboral,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$5,001-$10,000",Padre,Sí,8,No,"Beca de otra institución, Apoyo gubernamental, Trabajo propio",No,NA,2267,Sí,Ninguno,Secundaria,Preparatoria,Sí,No,Sí,Sí,Sí
2025A03526,Flores,Fuentes,Daniel,danielflores@universidad-sysac.edu.mx,daniel.flores93@yahoo.com.mx,8171817046,2026-01-09,Licenciatura en Diseño Gráfico,LIDN2022MX,2,Sí,2,Sí,Otra,Beca de transporte,NA,10000,Con otros familiares,3,"$5,001-$10,000",Beca o apoyo gubernamental,Sí,18,No,"Beca de otra institución, Trabajo propio",No,NA,2892,No,Ninguno,Sin estudios,Primaria,Sí,No,Sí,No,Sí
2024B06218,Vargas,Palacios,Ariadna,ariadna.vargas@universidad-sysac.edu.mx,ariadna_vargas91@protonmail.com,5598209677,2026-02-15,Licenciatura en Diseño Gráfico,LIDN2022MX,4,Sí,2,Sí,Laboral,Beca de colegiatura,7.9,NA,Con padres o tutores,2,"$15,001-$25,000",Madre,Sí,31,Sí,Crédito educativo,No,NA,2180,Sí,Sí a ambos,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
2021C03009,Moreno,Molina,Erick Erick,erickmoreno@universidad-sysac.edu.mx,erick_moreno82@live.com.mx,5584253363,2026-02-10,Licenciatura en Educación,LIED2020MX,5,Sí,5,Sí,Académica,Beca de transporte,NA,14300,Con padres o tutores,3,"$15,001-$25,000",Otro familiar,Sí,36,Sí,"Apoyo gubernamental, Trabajo propio",No,NA,1027,No,Solo internet,Sin estudios,Licenciatura,No,No,Sí,Sí,Sí
2019A05398,Díaz,Figueroa,Omar Antonio,omar.diaz@universidad-sysac.edu.mx,omar.diaz82@yahoo.com.mx,5588840556,2026-01-22,Licenciatura en Gastronomía,LIGA2020MX,5,No,NA,No,NA,Beca de transporte,NA,08000,Con padres o tutores,4,"$10,001-$15,000",Padre,Sí,17,Sí,"Trabajo propio, Beca de otra institución",No,NA,1576,Sí,Sí a ambos,Secundaria,Licenciatura,No,Sí,Sí,Sí,Sí
2025A03740,Rangel,Trejo,Laura,laura.rangel@universidad-sysac.edu.mx,laura.rangel90@yahoo.com,5579264637,2026-05-13,Maestría en Psicopedagogía,LIPS2020MX,2,Sí,6,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$15,001-$25,000",Otro familiar,No,NA,NA,"Apoyo familiar, Crédito educativo",Sí,"Beca estatal $1,000",1210,No,Sí a ambos,Sin estudios,Secundaria,Sí,Sí,Sí,Sí,Sí
2025B02387,Molina,Ortiz,Ismael,ismael_molina@universidad-sysac.edu.mx,ismaelmolina37@outlook.com,5673690846,2026-06-26,Licenciatura en Educación,LIED2020MX,2,Sí,1,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$5,001-$10,000",Madre,Sí,18,No,Trabajo propio,Sí,"Beca Jóvenes Escribiendo el Futuro $2,450",1587,Sí,Sí a ambos,Secundaria,Preparatoria,Sí,Sí,No,Sí,Sí
2018C10277,Guerrero,Hernández,Carolina,carolina.guerrero@universidad-sysac.edu.mx,carolina.guerrero98@hotmail.com,5692094306,2026-06-05,Licenciatura en Enfermería,LIEN2022MX,4,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$5,001-$10,000",Madre,Sí,28,No,"Trabajo propio, Crédito educativo, Apoyo gubernamental",No,NA,838,No,Sí a ambos,Licenciatura,Primaria,No,Sí,Sí,Sí,Sí
2023B07890,Ríos,Jiménez,Diego Juan,diego_rios@universidad-sysac.edu.mx,diegorios@protonmail.com,5572567362,2026-02-04,Licenciatura en Diseño Gráfico,LIDN2022MX,5,Sí,5,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"Menos de $5,000",Madre,Sí,27,Sí,Trabajo propio,Sí,"Beca Jóvenes Escribiendo el Futuro $2,450",1133,No,Sí a ambos,Licenciatura,Secundaria,No,Sí,Sí,Sí,Sí
2024A05573,Sánchez,Rodríguez,César,cesar.sanchez@universidad-sysac.edu.mx,cesar_sanchez@gmail.com,4460000714,2026-05-20,Maestría en Psicopedagogía,LIPS2020MX,4,Sí,6,Sí,Laboral,Beca de inscripción/reinscripción,NA,NA,Con pareja,3,"Menos de $5,000",El propio estudiante,Sí,44,No,"Apoyo familiar, Apoyo gubernamental",No,NA,843,No,Sí a ambos,Preparatoria,Preparatoria,Sí,No,Sí,Sí,Sí
2021A07208,Fuentes,Delgado,Dulce,dulcefuentes@universidad-sysac.edu.mx,dulce.fuentes@yahoo.com,5649275324,2026-02-10,Licenciatura en Mercadotecnia,LIME2020MX,5,Sí,4,Sí,Personal/Familiar,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$15,001-$25,000",Padre,No,NA,NA,"Apoyo gubernamental, Beca de otra institución",No,NA,1457,No,Sí a ambos,Preparatoria,Secundaria,Sí,Sí,No,Sí,No
2023B02825,Gómez,Herrera,Lucía Verónica,luciagomez@universidad-sysac.edu.mx,lucia.gomez@outlook.com,5646612270,2026-05-24,Licenciatura en Mercadotecnia,LIME2020MX,5,Sí,2,No,NA,Beca de colegiatura,7.5,NA,Con pareja,5,"Menos de $5,000",El propio estudiante,Sí,41,Sí,Trabajo propio,No,NA,219,No,Sí a ambos,Licenciatura,Posgrado,No,No,Sí,Sí,Sí
